"NPS","Comentario","Insight","Categoria"
"4","Los cajeros funcionan correctamente para las operaciones básicas. Sin embargo algunos modelos más antiguos tienen la pantalla muy deteriorada y es difícil leer. Para ingresar efectivo solo funcionan uno de los cuatro cajeros de mi oficina habitual. Podría mejorarse la inversión en mantenimiento.","Funcionamiento básico de cajeros con deterioro en equipos más antiguos","Canales"
"2","El asesor me recomendó un fondo de inversión con un perfil de riesgo muy superior al mío sin advertirme. Cuando perdí dinero significativo me presentó el contrato que yo había firmado como única respuesta. Un asesoramiento irresponsable que incumple claramente la normativa MiFID.","Asesoramiento que incumple normativa MiFID al no ajustarse al perfil de riesgo del cliente","Personal"
"7","El pago con el móvil funciona en la mayoría de comercios pero he tenido algunos problemas en gasolineras y parking automáticos. El proceso de configuración inicial fue algo complejo. Una vez configurado es cómodo para el día a día aunque con margen de mejora en compatibilidad.","Pago por móvil funcional con problemas de compatibilidad en algunos terminales","Canales"
"9","Los fondos indexados que ofrece el banco tienen comisiones de gestión del 0.25% y réplica fiel al índice. Puedo invertir desde 50 euros mensuales de forma automatizada. Es una forma cómoda de acceder a los mercados globales sin gestión activa. Muy satisfecho con la oferta.","Satisfacción con oferta de fondos indexados de bajo coste","Productos"
"9","Cuando llamé con una incidencia urgente el agente me atendió en cuatro minutos y resolvió el problema sin derivarme a ningún otro departamento. Fue empático, claro y eficiente. Este tipo de atención telefónica es lo que marca la diferencia respecto a la competencia.","Agente telefónico empático y resolutivo sin derivaciones en incidencia urgente","Personal"
"3","El teléfono de atención al cliente tiene una espera media de cuarenta minutos. El menú de voz tiene tres niveles de opciones antes de poder hablar con alguien. Muchas veces me han cortado la llamada en la espera. Es el canal más frustrante de todos los que ofrece el banco.","Esperas excesivas y menú telefónico complejo que dificulta contacto con agente","Canales"
"8","La gama de ETFs disponibles es amplia: mercados desarrollados, emergentes, sectoriales y temáticos. Las comisiones de compraventa son de 0.1% sin mínimo por operación. Puedo operar directamente desde la app. Para un inversor pasivo es la mejor plataforma que he encontrado en banca tradicional.","Buena oferta de ETFs con comisiones competitivas y acceso desde app","Productos"
"1","La cola en la oficina era de más de una hora el martes por la mañana con solo dos empleados para atender a más de treinta personas. El sistema de cita previa falla y no deja reservar. Es un servicio completamente colapsado que no funciona.","Colapso total en atención presencial de la sucursal sin cita previa funcional","Canales"
"4","La tarjeta de crédito tiene una cuota anual de 120 euros y los beneficios no justifican ese coste. El cashback es del 0.5% y los seguros de viaje tienen tantas exclusiones que son prácticamente inútiles. Pago por una tarjeta que no me aporta valor real.","Cuota anual de tarjeta no compensada por los beneficios reales que ofrece","Pricing"
"4","La tarjeta de crédito tiene una cuota anual de 100 euros y los beneficios no justifican ese coste. El cashback es del 0.3% y los seguros de viaje tienen tantas exclusiones que son prácticamente inútiles. Pago por una tarjeta que no me aporta valor real.","Cuota anual de tarjeta no compensada por los beneficios reales que ofrece","Pricing"
"9","El depósito a plazo fijo al 3.5% TAE a dieciocho meses me ofrece certeza total sobre la rentabilidad. No hay letra pequeña, no hay vinculaciones, no hay condiciones. El importe mínimo es asequible y la renovación automática es opcional. Exactamente lo que espero de un producto de ahorro.","Satisfacción con transparencia y condiciones claras del depósito a plazo","Productos"
"9","Tuve una situación económica muy difícil y mi asesora me ayudó a reestructurar mis deudas sin juzgarme. Me propuso un plan realista y me fue acompañando durante todo el proceso. Gracias a su gestión pude superar una situación que parecía imposible. Le estaré siempre agradecido.","Asesora empática que gestionó reestructuración de deuda con éxito en momento difícil","Personal"
"1","El seguro de vida vinculado a la hipoteca tiene unas condiciones abusivas. Me cobran 120 euros al mes por una cobertura que apenas protege el 60% de la deuda. Cuando quise cancelarlo me dijeron que tenía penalización de dos años de primas. Me siento completamente atrapado.","Seguro de vida vinculado a hipoteca con condiciones abusivas y cancelación penalizada","Productos"
"5","El equipo comercial llama con demasiada frecuencia para ofrecer productos. En el último mes he recibido tres llamadas no solicitadas. Entiendo que hay objetivos comerciales pero la insistencia genera rechazo. Una política de contacto más moderada sería más efectiva.","Exceso de llamadas comerciales no solicitadas que genera rechazo en el cliente","Personal"
"10","El pago por móvil funciona en todos los comercios con terminal contactless. La autenticación es instantánea con huella dactilar. Ya no necesito llevar la cartera para compras del día a día. La experiencia de pago es más rápida que con tarjeta física. Un avance real en comodidad.","Pago por móvil completamente funcional que elimina necesidad de cartera física","Canales"
"8","La tarjeta de débito funciona perfectamente en sesenta países sin comisión. Tengo notificaciones instantáneas de cada pago, puedo bloquearla desde la app en segundos y gestionar el límite diario yo mismo. Es la tarjeta más completa que he tenido en todos mis años como cliente bancario.","Tarjeta débito internacional completa con control total desde app","Productos"
"3","Las alertas de seguridad están desactivadas por defecto y no es fácil encontrar cómo activarlas. Cuando tuve un cargo fraudulento me enteré días después al revisar el extracto. Un banco que apuesta por la seguridad debería tener estas alertas activadas por defecto.","Alertas de seguridad desactivadas por defecto con difícil configuración","Canales"
"7","La cita previa online se puede reservar a cualquier hora del día. En tres minutos tienes confirmación por email y SMS con todos los detalles. El día de la cita el tiempo de espera fue de menos de tres minutos. Un sistema que respeta el tiempo del cliente.","Sistema de cita previa digital eficiente con tiempos de espera mínimos","Canales"
"4","El interés de la hipoteca variable que me ofrecieron es Euríbor más 1.5%. Comparado con el mercado actual es bastante caro. Cuando pedí mejora me dijeron que dependía de la vinculación con productos que no necesito. La mejora del precio condiciona a contratar más productos.","Diferencial hipotecario variable caro condicionado a vinculación de productos no deseados","Pricing"
"1","Me prometieron un tipo fijo del 3.1% y al firmar era el 3.2%. Nadie me avisó del cambio. Cuando reclamé me dijeron que había sido un error administrativo y que ya no podían modificarlo. Firmé bajo presión porque ya tenía fecha de notaría. Me siento completamente engañado.","Modificación de tipo hipotecario sin previo aviso al momento de la firma","Productos"
"10","Tuve una situación económica muy difícil y mi asesora me ayudó a reestructurar mis deudas sin juzgarme. Me propuso un plan realista y me fue acompañando durante todo el proceso. Gracias a su gestión pude superar una situación que parecía imposible. Le estaré siempre agradecido.","Asesora empática que gestionó reestructuración de deuda con éxito en momento difícil","Personal"
"3","Los agentes del call center no tienen capacidad para tomar ninguna decisión autónoma. Todo lo derivan a la oficina o a otro departamento. Son incapaces de resolver nada por sí mismos. El canal telefónico existe pero no sirve para gestiones que requieran alguna resolución.","Agentes telefónicos sin autonomía para resolver incidencias de forma independiente","Personal"
"2","El proceso de solicitud de la hipoteca fue un desastre total. Me pidieron la misma documentación tres veces porque la perdían. Tardaron siete meses en darme respuesta. Cuando por fin aprobaron la hipoteca habían cambiado las condiciones iniciales. Perdí la reserva del piso por su ineficiencia.","Proceso hipotecario caótico con cambio de condiciones y documentación perdida","Productos"
"8","Cuando llamé con una incidencia urgente me atendieron en menos de cinco minutos. El agente fue directo y resolutivo. Solucionó el problema en la misma llamada sin derivarme a otro departamento. Una atención telefónica que raramente encuentro en otros bancos.","Atención telefónica rápida y resolutiva sin transferencias innecesarias","Canales"
"7","La cuenta sin comisiones tiene condiciones de vinculación alcanzables: nómina superior a 500 euros o dos recibos domiciliados. No te exigen ser un gran cliente para acceder a las ventajas. Es una propuesta justa que permite a cualquier cliente evitar las comisiones.","Condiciones de exención de comisiones alcanzables para el cliente medio","Pricing"
"10","Este banco no cobra comisión de ningún tipo: ni por mantenimiento de cuenta, ni por transferencias nacionales, ni por usar cajeros propios o de otras entidades. Todo incluido sin condiciones ocultas. No esperaba encontrar un banco sin comisiones con tan buen servicio integral.","Cero comisiones en todos los servicios sin condiciones ocultas","Pricing"
"8","La cita previa online se puede reservar a cualquier hora del día. En dos minutos tienes confirmación por email y SMS con todos los detalles. El día de la cita el tiempo de espera fue de menos de cinco minutos. Un sistema que respeta el tiempo del cliente.","Sistema de cita previa digital eficiente con tiempos de espera mínimos","Canales"
"9","La cuenta nómina no tiene comisión de mantenimiento con solo domiciliar la nómina. Una condición muy sencilla que me da acceso a tarjeta de débito gratuita y transferencias sin coste. La mejor relación precio-valor que he encontrado en la banca tradicional.","Cuenta nómina sin comisión con condición de domiciliación sencilla y alcanzable","Pricing"
"3","El plan de pensiones que me vendieron tiene unas comisiones de gestión del 1.5% anual. Con esa carga es casi imposible obtener rentabilidad real. Además solo tienen cuatro perfiles de inversión sin posibilidad de personalización. La oferta de planes del banco es claramente mejorable.","Comisiones altas y escasa variedad en plan de pensiones del banco","Productos"
"10","La app móvil es increíblemente rápida e intuitiva. En menos de cuarenta segundos puedo hacer cualquier gestión: transferencias, inversiones, consultar movimientos o hablar con mi gestor. El diseño es moderno y nunca se cuelga. Es la mejor aplicación bancaria que he usado.","Excelente experiencia de uso de la app móvil en velocidad y diseño","Canales"
"9","Todas las comisiones del banco están perfectamente detalladas en un documento de tarifas fácil de encontrar en la web. Sin letra pequeña ni condiciones ocultas. Cuando pregunto me explican el coste exacto antes de hacer cualquier operación. Una transparencia en precios que se agradece.","Alta transparencia en comunicación de tarifas y precios antes de operar","Pricing"
"3","La cuenta de ahorro da un 0.02% de interés anual. Con la inflación actual es perder dinero en términos reales. Hay alternativas en el mercado que ofrecen 2.5% sin condiciones. Mantener aquí el ahorro es la peor decisión financiera posible.","Rentabilidad de cuenta ahorro por debajo de inflación y de alternativas del mercado","Pricing"
"8","El asesor de banca privada tiene buenos conocimientos de mercados y fiscalidad. Las reuniones son productivas aunque a veces me parece que intenta vender productos de la propia gestora del banco antes que opciones de terceros. En general el asesoramiento es de calidad.","Buen asesoramiento en banca privada con posible sesgo hacia productos propios","Personal"
"10","La cuenta de ahorro da un 4% TAE sin vinculaciones obligatorias ni plazos mínimos. El dinero está disponible en cualquier momento. Con la inflación controlándose es una buena opción para el ahorro a corto plazo. El mejor tipo que he encontrado en banca tradicional.","Cuenta ahorro con tipo competitivo y disponibilidad inmediata sin condiciones","Pricing"
"8","La cuenta sin comisiones tiene condiciones de vinculación alcanzables: nómina superior a 500 euros o tres recibos domiciliados. No te exigen ser un gran cliente para acceder a las ventajas. Es una propuesta justa que permite a cualquier cliente evitar las comisiones.","Condiciones de exención de comisiones alcanzables para el cliente medio","Pricing"
"8","La cuenta empresarial me permite gestionar cobros, pagos a proveedores y nóminas todo desde la misma plataforma. Las transferencias nacionales son inmediatas. El 25% de descuento en el TPV es un ahorro real. Para mi pequeño negocio es la solución ideal.","Satisfacción con funcionalidades de cuenta empresarial para pequeño negocio","Productos"
"9","Mi gestora conoce perfectamente mi situación financiera, mis objetivos y mis aversiones al riesgo. Nunca me ha propuesto un producto que no se ajuste a mi perfil. Sus recomendaciones han sido siempre acertadas. Es exactamente el tipo de asesoramiento que espero de un banco de confianza.","Asesora con conocimiento profundo del perfil y objetivos del cliente","Personal"
"2","El depósito a plazo que contraté al 3% al vencimiento había aplicado el interés sobre el saldo neto de comisiones de cuenta. La rentabilidad real fue del 3.1%. Una forma opaca de reducir el tipo efectivo que no se explica en la publicidad del producto.","Rentabilidad real del depósito reducida por comisiones de cuenta no comunicadas","Pricing"
"8","La oficina está bien ubicada en el centro con aparcamiento cercano. Los jueves tienen horario de tarde hasta las 18:30, lo cual es muy útil si trabajas. La sala de espera es cómoda. Podría mejorar el tiempo medio de espera pero en general es accesible.","Buena accesibilidad y ubicación de sucursal con horario de tarde","Canales"
"8","Las notificaciones push de cada pago con tarjeta son instantáneas y muy claras. Me ayudan a detectar cualquier cargo inesperado de forma inmediata. Gracias a esto detecté un cargo fraudulento en menos de cinco minutos y pude bloquearlo desde la misma notificación.","Notificaciones instantáneas de pagos útiles para detección de fraude","Canales"
"4","Mi tarjeta de crédito tiene un límite de 500 euros que no me suben desde hace tres años aunque lo solicito cada seis meses. Con ese límite no puedo hacer reservas de hotel ni alquilar coches en el extranjero. Es un producto completamente inútil para mis necesidades actuales.","Límite de crédito insuficiente sin posibilidad de ampliación tras múltiples solicitudes","Productos"
"8","Por tener la nómina y los recibos domiciliados recibo una bonificación de 150 euros al año. La condición es fácil de cumplir y la bonificación llega puntualmente cada año. Una forma honesta y simple de premiar la vinculación del cliente.","Bonificación por vinculación sencilla que el banco aplica con puntualidad","Pricing"
"8","El programa de puntos de la tarjeta es muy generoso: tres puntos por cada euro gastado y se pueden canjear por viajes, electrodomésticos o descuentos en compras. Ya he canjeado veinte mil puntos este año. Sin fecha de caducidad de los puntos. Un programa de fidelización bien diseñado.","Satisfacción con programa de puntos generoso y sin caducidad","Productos"
"3","El horario del servicio telefónico es de 8:00 a 21:00. Si tienes una urgencia fuera de ese horario no puedes contactar con nadie. Para bloquear una tarjeta o reportar un fraude en fin de semana hay un número de emergencias pero no sirve para nada más. Muy limitado.","Horario de atención telefónica limitado sin cobertura para urgencias generales","Canales"
"7","La cita previa online se puede reservar a cualquier hora del día. En dos minutos tienes confirmación por email y SMS con todos los detalles. El día de la cita el tiempo de espera fue de menos de dos minutos. Un sistema que respeta el tiempo del cliente.","Sistema de cita previa digital eficiente con tiempos de espera mínimos","Canales"
"10","Tuve una situación económica muy difícil y mi asesora me ayudó a reestructurar mis deudas sin juzgarme. Me propuso un plan realista y me fue acompañando durante todo el proceso. Gracias a su gestión pude superar una situación que parecía imposible. Le estaré siempre agradecido.","Asesora empática que gestionó reestructuración de deuda con éxito en momento difícil","Personal"
"9","El pago por móvil funciona en todos los comercios con terminal contactless. La autenticación es instantánea con huella dactilar. Ya no necesito llevar la cartera para compras del día a día. La experiencia de pago es más rápida que con tarjeta física. Un avance real en comodidad.","Pago por móvil completamente funcional que elimina necesidad de cartera física","Canales"
"3","Contraté un depósito a plazo al 2.5% TAE y al vencimiento el interés aplicado fue diferente. Cuando reclamé me mostraron una cláusula en un anexo de cuarenta páginas que reducía el tipo en determinadas condiciones. Me siento estafado con un producto que debería ser el más sencillo del mundo.","Condiciones reales del depósito a plazo distintas a las ofertadas inicialmente","Productos"
"10","Cuando presenté una reclamación formal me llamaron en menos de 24 horas para darme respuesta. La persona fue empática y resolvió el problema de forma justa devolviendo el importe en el acto. Una gestión de reclamaciones que genera confianza y fidelidad.","Resolución rápida y justa de reclamación con devolución inmediata","Personal"
"3","La tarjeta de crédito tiene una cuota anual de 80 euros y los beneficios no justifican ese coste. El cashback es del 0.2% y los seguros de viaje tienen tantas exclusiones que son prácticamente inútiles. Pago por una tarjeta que no me aporta valor real.","Cuota anual de tarjeta no compensada por los beneficios reales que ofrece","Pricing"
"3","Contraté un depósito a plazo al 4% TAE y al vencimiento el interés aplicado fue diferente. Cuando reclamé me mostraron una cláusula en un anexo de cuarenta páginas que reducía el tipo en determinadas condiciones. Me siento estafado con un producto que debería ser el más sencillo del mundo.","Condiciones reales del depósito a plazo distintas a las ofertadas inicialmente","Productos"
"6","El pago con el móvil funciona en la mayoría de comercios pero he tenido algunos problemas en gasolineras y parking automáticos. El proceso de configuración inicial fue algo complejo. Una vez configurado es cómodo para el día a día aunque con margen de mejora en compatibilidad.","Pago por móvil funcional con problemas de compatibilidad en algunos terminales","Canales"
"2","El tipo de interés del crédito al consumo que me ofrecieron era del 17% TAE. Para un cliente de ocho años sin incidencias es incomprensible. La competencia me ofreció la mitad. Cuando intenté negociarlo me dijeron que era la tarifa fija para todos. Sin margen de maniobra.","Tipo de interés en crédito al consumo elevado e innegociable","Productos"
"9","Los fondos indexados que ofrece el banco tienen comisiones de gestión del 0.1% y réplica fiel al índice. Puedo invertir desde 50 euros mensuales de forma automatizada. Es una forma cómoda de acceder a los mercados globales sin gestión activa. Muy satisfecho con la oferta.","Satisfacción con oferta de fondos indexados de bajo coste","Productos"
"7","El tipo de interés de la hipoteca variable es Euríbor más 0.5%. Un diferencial muy competitivo. Además puedo hacer novación a tipo fijo sin coste en cualquier momento. Esta flexibilidad en el precio de la hipoteca me parece un valor diferencial importante.","Diferencial hipotecario competitivo con opción de novación a fijo sin coste","Pricing"
"4","Mi tarjeta de crédito tiene un límite de 1.000 euros que no me suben desde hace tres años aunque lo solicito cada seis meses. Con ese límite no puedo hacer reservas de hotel ni alquilar coches en el extranjero. Es un producto completamente inútil para mis necesidades actuales.","Límite de crédito insuficiente sin posibilidad de ampliación tras múltiples solicitudes","Productos"
"2","Me acaban de cobrar 4 euros por recibir una transferencia desde el extranjero. Esta comisión no aparece en el resumen de tarifas principal sino en un anexo de cincuenta páginas. Esta opacidad en los precios parece diseñada para que el cliente no se entere hasta que ya es tarde.","Comisión por transferencia recibida oculta en documentación extensa y difícil de encontrar","Pricing"
"1","El asesor comercial me presionó para contratar un producto de inversión que no necesitaba sin explicarme los riesgos. Fue evasivo con mis preguntas. Meses después el producto acumulaba pérdidas significativas. Cuando reclamé me dijo que yo había firmado el contrato. Una mala praxis comercial inaceptable.","Venta agresiva de producto inadecuado sin transparencia sobre riesgos reales","Personal"
"8","El precio del seguro de coche que contraté a través del banco es quince% más barato que la renovación que me daba mi aseguradora anterior. La cobertura es equivalente o mejor. Con la comodidad de tenerlo domiciliado en la misma cuenta. Una compra claramente ganadora en precio.","Seguro de coche más económico que alternativa previa con cobertura equivalente","Pricing"
"9","La tarjeta de crédito no tiene cuota anual y tampoco cobra por operaciones en moneda extranjera. En mis seis viajes de este año no he pagado un solo euro en comisiones por cambio de divisa. Para alguien que viaja habitualmente es una tarjeta con un precio imbatible.","Tarjeta sin comisión anual ni por divisa ideal para clientes viajeros frecuentes","Pricing"
"2","El depósito a plazo que contraté al 3% al vencimiento había aplicado el interés sobre el saldo neto de comisiones de cuenta. La rentabilidad real fue del 2.5%. Una forma opaca de reducir el tipo efectivo que no se explica en la publicidad del producto.","Rentabilidad real del depósito reducida por comisiones de cuenta no comunicadas","Pricing"
"7","El Bizum funciona bien para pagos básicos entre contactos. El límite de 500 euros por operación cubre la mayoría de mis necesidades. Solo echo de menos poder programar Bizums recurrentes para pagos fijos mensuales. En general una funcionalidad bien integrada.","Satisfacción con Bizum con sugerencia de mejora para pagos recurrentes","Canales"
"9","Sin cajeros del propio banco en el extranjero puedo sacar efectivo en cualquier cajero de Europa sin comisión gracias a mi tarjeta. En ocho países diferentes nunca he pagado nada extra. Para un viajero frecuente es un beneficio en precios que marca la diferencia.","Sin comisión por retirada en cajeros europeos para clientes viajeros","Pricing"
"8","El director de la oficina intervino personalmente para resolver una incidencia compleja que otros empleados no habían podido solucionar. Fue directo, eficiente y empático. En menos de quince minutos el problema estaba resuelto. Un directivo que lidera con el ejemplo.","Director de oficina que interviene eficazmente para resolver incidencias complejas","Personal"
"1","La cola en la oficina era de más de una hora el martes por la mañana con solo dos empleados para atender a más de veinte personas. El sistema de cita previa falla y no deja reservar. Es un servicio completamente colapsado que no funciona.","Colapso total en atención presencial de la sucursal sin cita previa funcional","Canales"
"2","Mi reclamación formal lleva tres meses sin resolución. Me han llamado dos veces para pedirme más información que ya había enviado. Cada llamada es de una persona diferente que no conoce el caso. El proceso de reclamaciones parece diseñado para que el cliente se rinda.","Proceso de reclamación prolongado con falta de coordinación interna y seguimiento","Personal"
"3","El plan de pensiones que me vendieron tiene unas comisiones de gestión del 2.2% anual. Con esa carga es casi imposible obtener rentabilidad real. Además solo tienen dos perfiles de inversión sin posibilidad de personalización. La oferta de planes del banco es claramente mejorable.","Comisiones altas y escasa variedad en plan de pensiones del banco","Productos"
"10","El director de la oficina intervino personalmente para resolver una incidencia compleja que otros empleados no habían podido solucionar. Fue directo, eficiente y empático. En menos de veinte minutos el problema estaba resuelto. Un directivo que lidera con el ejemplo.","Director de oficina que interviene eficazmente para resolver incidencias complejas","Personal"
"1","Al intentar hacer una transferencia urgente de 3.000 euros la plataforma online me la bloqueó sin explicación. Tardé dos días en desbloquearla. Tuve que ir a la oficina con documentación. La incidencia me generó problemas graves con el receptor del pago. Inaceptable.","Bloqueo injustificado de transferencia urgente con proceso de desbloqueo presencial","Canales"
"9","Cuando comparé hipotecas en el mercado este banco tenía el tipo fijo más bajo: un 2.9% frente a la media del 3.2% del sector. A veinte años de hipoteca la diferencia es de decenas de miles de euros. Una ventaja competitiva en precio que marca la elección.","Tipo fijo hipotecario más competitivo del mercado con ahorro objetivamente calculable","Pricing"
"2","La app me bloqueó la cuenta sin motivo aparente justo antes de un viaje importante. No pude operar durante dos días. El proceso de desbloqueo requirió ir a la oficina con documentación original. Nadie me explicó por qué se bloqueó. Un sistema de seguridad que penaliza al cliente legítimo.","Bloqueo injustificado de cuenta por la app en momento crítico sin explicación","Canales"
"8","Pedir cita previa online es muy sencillo: en menos de tres minutos tienes confirmación y un recordatorio por SMS el día anterior. El día de la cita no tuve que esperar nada. La digitalización del proceso presencial está muy bien implementada.","Sistema de cita previa online ágil y efectivo sin esperas","Canales"
"5","Los empleados de ventanilla son amables y el ambiente es tranquilo. Sin embargo las colas son largas y los procesos lentos. Para operaciones sencillas como ingresar un cheque tardé más de veinticinco minutos. El trato es bueno pero la eficiencia operativa es mejorable.","Buen trato en ventanilla pero procesos lentos con colas largas","Personal"
"3","La oficina solo abre de lunes a viernes de 9:00 a 14:00. Para alguien que trabaja en esas horas es imposible ir. No tienen horario de tarde ni sábados. La única alternativa es pedir cita con semanas de antelación. El banco no se ha adaptado a los horarios reales de la vida laboral.","Horario de sucursal incompatible con jornada laboral sin alternativa de tarde o sábado","Canales"
"9","El plan de pensiones permite aportaciones desde 50 euros al mes y puedo aumentarlas o reducirlas cuando quiero. La variedad de perfiles de inversión es amplia. Los informes periódicos son claros y detallados. Para la jubilación es la opción más completa que he encontrado.","Satisfacción con flexibilidad y transparencia en plan de pensiones","Productos"
"10","Tuve una situación económica muy difícil y mi asesora me ayudó a reestructurar mis deudas sin juzgarme. Me propuso un plan realista y me fue acompañando durante todo el proceso. Gracias a su gestión pude superar una situación que parecía imposible. Le estaré siempre agradecido.","Asesora empática que gestionó reestructuración de deuda con éxito en momento difícil","Personal"
"4","La web no está adaptada para móvil. Los botones son minúsculos y se superponen unos sobre otros. Los PDFs de los extractos no se abren desde el navegador del móvil. Si no tengo ordenador cerca es prácticamente imposible hacer ciertas gestiones.","Web bancaria no adaptada para uso en dispositivos móviles","Canales"
"1","El asesor comercial me presionó para contratar un producto de inversión que no necesitaba sin explicarme los riesgos. Fue evasivo con mis preguntas. Meses después el producto acumulaba pérdidas significativas. Cuando reclamé me dijo que yo había firmado el contrato. Una mala praxis comercial inaceptable.","Venta agresiva de producto inadecuado sin transparencia sobre riesgos reales","Personal"
"1","Las comisiones de custodia de mi cartera de valores superan el 0.8% anual del patrimonio gestionado. Además cobran por cada operación de compraventa. Sumando todo, el banco se lleva más que los propios rendimientos del portfolio. Un coste completamente injustificado.","Comisiones de custodia de valores que superan los rendimientos del portfolio","Pricing"
"8","El tipo de interés de la hipoteca variable es Euríbor más 0.4%. Un diferencial muy competitivo. Además puedo hacer novación a tipo fijo sin coste en cualquier momento. Esta flexibilidad en el precio de la hipoteca me parece un valor diferencial importante.","Diferencial hipotecario competitivo con opción de novación a fijo sin coste","Pricing"
"8","El seguro de hogar del banco tiene una cobertura excelente: daños por agua, robo, responsabilidad civil y asistencia 24 horas. El precio es competitivo. Cuando tuve una fuga de agua me enviaron un técnico en menos de dos horas y cubrieron todos los gastos sin discusión.","Satisfacción con cobertura y rapidez de respuesta del seguro de hogar","Productos"
"8","Por domiciliar cinco recibos en la cuenta me eliminaron todas las comisiones y me redujeron el diferencial de la hipoteca en quince puntos básicos. El ahorro anual real es de más de 1.000 euros. Las condiciones de vinculación son alcanzables y los beneficios son tangibles.","Ahorro significativo por vinculación con condiciones de domiciliación alcanzables","Pricing"
"3","La cuenta nómina que me ofrecieron tiene tantas condiciones de vinculación que es imposible cumplirlas todas: nómina mínima de 2.000 euros, tres recibos domiciliados, tarjeta de crédito activa y seguro contratado. Si no cumples todo te cobran comisión. Es una trampa para cobrar comisiones camuflada.","Condiciones de exención en cuenta nómina imposibles de cumplir para la mayoría","Productos"
"6","La tarjeta débito contactless funciona en todos los comercios y en el transporte público. Las notificaciones son instantáneas y me ayudan a controlar el gasto diario. El único punto de mejora sería poder generar números de tarjeta virtuales para compras online.","Satisfacción con tarjeta débito contactless con sugerencia de mejora","Productos"
"8","La empleada de ventanilla que me atendió fue muy amable y eficiente. Resolvió mi consulta en ocho minutos, me explicó todas las opciones disponibles y me ayudó a elegir la mejor. Una atención presencial que supera las expectativas.","Atención eficiente y amable en ventanilla con buena orientación al cliente","Personal"
"3","El asesor me recomendó un fondo de inversión con un perfil de riesgo muy superior al mío sin advertirme. Cuando perdí dinero significativo me presentó el contrato que yo había firmado como única respuesta. Un asesoramiento irresponsable que incumple claramente la normativa MiFID.","Asesoramiento que incumple normativa MiFID al no ajustarse al perfil de riesgo del cliente","Personal"
"8","La posibilidad de hacer videollamadas con mi gestor desde casa es muy cómoda. La calidad de imagen y sonido es buena. Puedo firmar documentos digitalmente durante la llamada. Me ahorra desplazamientos para gestiones importantes. Es una funcionalidad que debería ser estándar en todos los bancos.","Satisfacción con videollamada con gestor para firma digital de documentos","Canales"
