NPS,Comentario,Insight,Categoria
3,"La cuenta de ahorro ofrece un 0,01% de interés. Es prácticamente cero. Hay opciones mucho mejores en el mercado incluso dentro del mismo banco. No entiendo por qué mantienen un producto tan poco atractivo para el cliente.",Rentabilidad casi nula en cuenta de ahorro,Productos
10,"La hipoteca a tipo fijo que firmé tiene un interés excelente. Además, sin comisión de apertura ni de amortización anticipada. Desde el primer momento el proceso fue transparente y sin letra pequeña. Es el producto más importante que he contratado y estoy encantado.",Hipoteca fija con condiciones muy competitivas y transparentes,Productos
4,"Mi tarjeta de crédito tiene un límite de 500 euros que no me han subido en tres años aunque lo he solicitado varias veces. Con ese límite no puedo hacer reservas de hotel ni alquilar coches. Es un producto completamente inútil para mis necesidades.",Límite de crédito insuficiente sin posibilidad de ampliación,Productos
9,"El plan de pensiones tiene opciones de renta variable, mixta y conservadora. Puedo cambiar de perfil sin penalización. La rentabilidad histórica es buena y las comisiones de gestión son bajas. Es el producto de ahorro a largo plazo más completo que conozco.",Satisfacción con flexibilidad y rentabilidad del plan de pensiones,Productos
2,"Contraté un depósito a plazo fijo con el tipo que me indicaron en el folleto y al vencimiento el interés aplicado era diferente. Cuando reclamé me dijeron que había una cláusula en letra pequeña. Me siento estafado con un producto que debería ser sencillo.",Condiciones reales del depósito distintas a las ofertadas,Productos
8,"El seguro de hogar del banco tiene muy buena cobertura: daños por agua, robo, responsabilidad civil y asistencia 24 horas. El precio es competitivo comparado con otras aseguradoras. Cuando tuve una fuga de agua resolvieron la incidencia en menos de dos horas.",Satisfacción con cobertura y respuesta del seguro de hogar,Productos
5,"La cuenta corriente básica cumple su función pero no tiene nada especial. Sin intereses, sin descuentos, sin ventajas. Simplemente un sitio donde guardar el dinero y domiciliar recibos. Para lo que ofrecen tampoco cobran demasiado, así que es un intercambio justo.",Cuenta corriente funcional sin propuesta de valor diferencial,Productos
7,"Los fondos indexados que ofrece el banco tienen comisiones de gestión muy bajas y réplica fiel al índice. Puedo invertir desde 50 euros mensuales. Es una forma cómoda de acceder a los mercados sin necesidad de gestión activa. Muy satisfecho con la oferta.",Satisfacción con disponibilidad de fondos indexados de bajo coste,Productos
10,"La tarjeta premium tiene acceso a salas VIP en aeropuertos, seguro de viaje completo y cashback del 2% en todas las compras. Se paga sola con los beneficios que obtengo cada mes. Es el mejor producto financiero que he contratado en mi vida.",Alta satisfacción con beneficios de tarjeta premium,Productos
3,"La cuenta empresarial tiene límites muy restrictivos para transferencias y no permite pagos internacionales sin solicitud previa. Para una pequeña empresa es completamente insuficiente. Los competidores ofrecen mucho más por menos.",Producto de cuenta empresarial con funcionalidades limitadas,Productos
8,"El crédito para comprar el coche fue muy fácil de contratar y el tipo de interés fue el que me ofrecieron desde el principio. La cuota mensual se ajusta perfectamente a mi presupuesto. Sin seguros obligatorios vinculados. Un producto honesto y sencillo.",Satisfacción con condiciones y sencillez del crédito de coche,Productos
2,"El seguro de vida que me vendieron tiene unas exclusiones enormes. Prácticamente no cubre nada. Cuando pedí el listado completo de exclusiones tardaron semanas en enviármelo. Pago mucho por una cobertura que en realidad es casi inexistente.",Cobertura insuficiente y falta de transparencia en seguro de vida,Productos
9,"La cuenta remunerada me da un 2% anual por el saldo que mantengo sin necesidad de contratar nada más. El interés se abona mensualmente y puedo retirar el dinero cuando quiera. Es un producto sencillo pero muy útil para rentabilizar el ahorro.",Satisfacción con rentabilidad de cuenta remunerada sin vinculaciones,Productos
7,"La gama de ETFs disponibles es bastante amplia y puedo comprarlos directamente desde la app sin ir a la oficina. Las comisiones de compraventa son razonables. Me gustaría que añadieran más ETFs de mercados emergentes pero en general estoy contento.",Buena oferta de ETFs con margen de mejora en mercados emergentes,Productos
1,"El proceso de solicitud de la hipoteca fue un desastre. Me pidieron documentación tres veces porque perdían los papeles. Tardaron seis meses en aprobarla. Cuando por fin la firmé habían cambiado las condiciones que me habían prometido al inicio. Agotador e inaceptable.",Proceso hipotecario caótico con cambio de condiciones al final,Productos
6,"El plan de ahorro infantil tiene un tipo de interés aceptable y puedo hacer aportaciones mensuales pequeñas. No es el mejor del mercado pero tampoco es malo. Le falta algo de rentabilidad pero la seguridad del capital está garantizada. Cumple su función básica.",Plan de ahorro infantil funcional con rentabilidad mejorable,Productos
8,"La tarjeta de débito contactless funciona perfectamente en todos los comercios y en transportes públicos. No he tenido ningún problema con ningún pago. Además tiene notificaciones instantáneas que me ayudan a controlar el gasto. Muy cómoda en el día a día.",Funcionamiento correcto y notificaciones útiles de tarjeta débito contactless,Productos
10,"La app móvil es increíblemente rápida e intuitiva. En menos de un minuto puedo hacer cualquier gestión: transferencias, pagos, inversiones. El diseño es moderno y nunca se cuelga. Es la mejor aplicación bancaria que he usado con diferencia.",Excelente experiencia de uso de la app móvil,Canales
2,"La página web del banco es lentísima y está claramente desactualizada. Algunos menús no funcionan en Chrome. Para hacer una simple consulta de movimientos tarda más de 30 segundos en cargar. Es frustrante usar algo tan básico cuando los competidores tienen webs excelentes.",Web bancaria lenta, desactualizada y con errores en navegador,Canales
8,"Bizum es muy fácil de usar desde la app. En dos segundos puedo enviar dinero a cualquier contacto del móvil. Las solicitudes de dinero también funcionan perfectamente. Lo uso a diario para dividir gastos con amigos y familia. Muy recomendable.",Satisfacción alta con usabilidad de Bizum integrado en la app,Canales
1,"El cajero de mi sucursal lleva más de un mes fuera de servicio. El siguiente más cercano está a 3 kilómetros. Cuando llamo para reportarlo nadie hace nada. Es inadmisible para clientes mayores que dependen del efectivo. Me siento completamente abandonado por el banco.",Cajero permanentemente averiado sin solución y perjuicio a clientes mayores,Canales
7,"La oficina está muy bien ubicada en el centro y tiene aparcamiento cercano. El horario de tarde los jueves es muy útil para quien trabaja. La sala de espera es cómoda. Podría mejorar el tiempo de espera en caja pero en general es accesible.",Buena accesibilidad y ubicación de la sucursal,Canales
3,"El teléfono de atención al cliente tiene una espera media de 40 minutos. El menú de opciones es interminable y confuso. Muchas veces me han cortado la llamada antes de hablar con alguien. Prefiero ir a la oficina aunque me quede lejos antes que llamar.",Esperas excesivas e IVR confuso en el canal telefónico,Canales
10,"La app tiene reconocimiento facial para entrar y huella dactilar como segunda verificación. El proceso es rapidísimo y muy seguro. Me llegan alertas instantáneas ante cualquier operación sospechosa. Me siento completamente protegido usando los servicios digitales del banco.",Excelente seguridad biométrica y alertas en tiempo real en la app,Canales
4,"La web no está optimizada para móvil. Los botones son pequeños y se superponen. Los PDFs de los extractos no se pueden abrir desde el navegador del móvil. Si no tuviera ordenador sería imposible hacer ciertas gestiones. Una experiencia muy frustrante.",Web bancaria no adaptada a dispositivos móviles,Canales
9,"Las notificaciones push de cada pago con tarjeta son instantáneas y muy claras. Me ayudan a detectar cualquier cargo inesperado de forma inmediata. Gracias a esto detecté un cargo fraudulento en segundos. Es una funcionalidad que aporta mucha tranquilidad.",Notificaciones instantáneas de pagos útiles para detectar fraudes,Canales
2,"Al intentar hacer una transferencia online el sistema me bloqueó la cuenta sin motivo aparente. Tardé tres días en desbloquearla. Tuve que ir a la oficina en persona con documentación. Una interrupción del servicio digital que me causó problemas graves.",Bloqueo injustificado de cuenta al operar online,Canales
8,"Poder hacer videollamadas con mi gestor desde casa es muy cómodo. La calidad de imagen y sonido es buena. Puedo firmar documentos digitalmente durante la llamada. Me ahorra tener que ir a la oficina para gestiones importantes. Una funcionalidad excelente.",Satisfacción con servicio de videoconferencia con gestor,Canales
5,"El chatbot responde bien a preguntas básicas como saldos o últimos movimientos. Para cosas más complejas redirige a un agente humano. El tiempo de espera con el agente es razonable. No es lo más avanzado del mercado pero cumple con lo básico sin grandes problemas.",Chatbot funcional para gestiones básicas con derivación adecuada,Canales
1,"La cola en la oficina era de más de una hora un martes por la mañana. Solo había dos empleados para atender a 30 personas. El sistema de cita previa falla constantemente y no te deja reservar. Es un servicio completamente colapsado.",Colapso total en la atención presencial de la sucursal,Canales
7,"Desde la app puedo retirar efectivo en cualquier cajero del banco usando solo el móvil, sin tarjeta. El proceso es sencillo: genero un código y lo introduzco en el cajero. Es muy útil si olvido la cartera. Una funcionalidad práctica y diferenciadora.",Satisfacción con extracción de efectivo sin tarjeta desde app,Canales
10,"Puedo gestionar absolutamente todo desde la app sin pisar la oficina: contratar productos, solicitar documentos, hacer reclamaciones o hablar con mi gestor. Llevo dos años sin necesitar ir a la sucursal. La digitalización completa del servicio es un gran valor.",Digitalización completa del servicio sin necesidad de ir a sucursal,Canales
3,"La app se cierra sola varias veces al día. Las actualizaciones empeoran el funcionamiento en lugar de mejorarlo. Ya he reportado el problema varias veces y solo me dicen que lo están revisando. Llevo meses con la misma situación sin solución.",Fallos recurrentes y sin resolver en la estabilidad de la app,Canales
8,"Los cajeros del banco están bien distribuidos por la ciudad. Siempre encuentro uno cerca y rara vez están fuera de servicio. El proceso de operación es intuitivo y rápido. Podría mejorar añadiendo la opción de ingresar billetes en más cajeros.",Buena disponibilidad y funcionamiento de la red de cajeros,Canales
6,"La web bancaria es funcional y permite hacer las gestiones básicas. El diseño es algo anticuado pero los menús son claros. La carga es lenta en horas pico. No es la mejor experiencia digital pero tampoco es un obstáculo para operar con normalidad.",Web funcional pero con diseño anticuado y rendimiento mejorable,Canales
2,"La oficina abre de 8:30 a 14:00 de lunes a viernes. Es imposible ir si trabajas. No tienen horario de tarde ni sábados. La única alternativa es pedir cita previa con semanas de antelación. El banco no se ha adaptado a los horarios de la vida real.",Horario de oficina incompatible con jornada laboral,Canales
9,"La app tiene un presupuestador automático que clasifica mis gastos por categorías. Me ayuda a ver dónde gasto más y a detectar suscripciones que no uso. Recibo un resumen semanal muy visual. Es una herramienta de gestión financiera personal muy completa.",Satisfacción con funcionalidad de presupuestador en la app,Canales
4,"El sistema de cita previa online falla constantemente. A veces te confirma la cita y luego no aparece en el sistema. He llegado a la oficina con cita y me han dicho que no tenían constancia de ella. Un sistema completamente poco fiable.",Sistema de cita previa defectuoso e infiable,Canales
7,"Pagar con el móvil en cualquier terminal es muy cómodo. Funciona con todos los comercios que tienen pago sin contacto. El proceso de configuración fue sencillo y rápido. Ya no necesito llevar la cartera cuando salgo a compras cercanas.",Satisfacción con pagos por móvil en comercios,Canales
8,"Las alertas de seguridad me notifican inmediatamente de cualquier intento de acceso no autorizado. Puedo bloquear la tarjeta desde la app en segundos. El doble factor de autenticación funciona perfectamente. Me siento muy seguro operando con este banco digitalmente.",Sistema de alertas y seguridad digital robusta y efectiva,Canales
9,"Mi gestor personal se adelanta siempre a mis necesidades. Antes de que yo lo piense me llama para ofrecerme soluciones. Conoce perfectamente mi situación financiera y mis objetivos. Llevo diez años con él y no cambiaría por nada. Es un profesional excelente.",Gestor proactivo con conocimiento profundo del cliente,Personal
2,"El director de la oficina fue muy brusco cuando fui a presentar una reclamación. Me interrumpió varias veces y minimizó mi problema. Al final no resolvió nada y me dijo que enviara un email. Nunca me había sentido tan poco valorado como cliente.",Trato irrespetuoso del director de oficina ante reclamación,Personal
8,"La empleada de ventanilla que me atendió fue muy amable y eficiente. Resolvió mi duda en pocos minutos, me explicó todas las opciones y me ayudó a elegir la mejor. La experiencia en la oficina fue mucho mejor de lo que esperaba.",Atención eficiente y amable en ventanilla,Personal
1,"El asesor comercial me presionó para contratar un producto que claramente no necesitaba sin explicarme los riesgos. Cuando le pregunté por las condiciones fue evasivo. Firmé algo que no entendí bien y luego tuve problemas. Una práctica comercial completamente inaceptable.",Venta agresiva y falta de transparencia por parte del asesor,Personal
7,"Cuando llamé con una duda sobre mi hipoteca el agente telefónico supo responderme correctamente y de forma clara. No me tuvo esperando más de cinco minutos. Fue directo y resolutivo. Este tipo de atención hace que confíe más en el banco.",Atención telefónica eficiente y resolutiva,Personal
3,"Los empleados de la oficina no están al día de los productos digitales del banco. Cuando pregunté por una funcionalidad de la app me dieron información incorrecta. Si ellos no saben cómo funciona la app, ¿cómo voy a confiar en sus consejos financieros?",Personal sin formación actualizada sobre productos y canales digitales,Personal
10,"Todo el equipo de mi oficina es extraordinariamente profesional. Siempre me atienden con una sonrisa, resuelven cualquier incidencia al momento y me hacen sentir que soy un cliente importante para ellos. Es un nivel de servicio que no he encontrado en ningún otro banco.",Excelencia generalizada en profesionalidad y atención del equipo,Personal
4,"En los últimos dos años he tenido cuatro gestores diferentes asignados. Cada vez que hay un cambio tengo que explicar toda mi situación de nuevo. Nadie recoge correctamente el histórico. Esta rotación constante hace que la relación con el banco sea completamente impersonal.",Alta rotación de gestores asignados afecta continuidad del servicio,Personal
9,"Mi asesora financiera tiene un conocimiento extraordinario de los mercados y siempre me da recomendaciones basadas en mis objetivos reales. Nunca me ha colocado un producto que no me conviniese. Gracias a su asesoramiento mi patrimonio ha crecido considerablemente.",Asesora financiera con alto conocimiento y orientación al cliente,Personal
2,"El trato que recibí en la oficina fue condescendiente. El empleado me habló como si no entendiese nada de finanzas. Cuando pregunté por una segunda opción me respondió con impaciencia. Un servicio pésimo que me hizo salir de la oficina sintiéndome humillado.",Trato condescendiente e irrespetuoso por parte de empleado,Personal
8,"Mi gestor me responde por mensaje en menos de una hora en horario laboral. No tengo que llamar ni ir a la oficina para resolver dudas rápidas. Es una forma de comunicación muy ágil que valoro mucho. Se siente como tener un asesor de confianza disponible.",Disponibilidad ágil del gestor a través de mensajería,Personal
5,"El personal de la oficina es correcto y educado pero no transmite mucha proactividad. Hacen lo que les pides pero no sugieren nada. Para operaciones simples va bien pero para asesoramiento financiero hay que tirar de ellos. Cumplen pero no destacan.",Personal correcto pero reactivo sin iniciativa de asesoramiento,Personal
1,"El asesor me recomendó un producto de inversión con un nivel de riesgo que no correspondía a mi perfil. Cuando le reclamé meses después por las pérdidas me dijo que yo había firmado el contrato y que era mi responsabilidad. Un asesoramiento irresponsable con consecuencias reales.",Asesoramiento inadecuado al perfil del cliente con pérdidas económicas,Personal
7,"Cuando presenté una reclamación formal me llamaron en menos de 48 horas para darme una respuesta. La persona que me atendió fue empática y resolvió el problema de forma justa. Una gestión de reclamaciones que genera confianza en el banco.",Resolución rápida y empática de reclamación formal,Personal
10,"Mi gestor me conoce tan bien que a veces me llama antes de que yo sepa que necesito algo. Me avisó de que mi seguro estaba a punto de vencer y me propuso una renovación mejor. Este nivel de anticipación es lo que diferencia a un banco excepcional.",Gestor que anticipa necesidades del cliente antes de que surjan,Personal
3,"Es imposible contactar con mi gestor asignado. No coge el teléfono ni responde emails. Cuando llamo a la oficina me dicen que está ocupado y que ya me llamará. Nunca llama. Para cualquier gestión tengo que ir en persona porque el canal directo no funciona.",Inaccesibilidad del gestor asignado por todos los canales,Personal
8,"Al hablar en la oficina en catalán el empleado me respondió en el mismo idioma sin ningún problema. Toda la documentación también está disponible en catalán. Es un detalle que valoro mucho y que demuestra respeto hacia los clientes de Cataluña.",Atención en lengua propia y documentación en catalán disponible,Personal
6,"Los empleados son agradables y el ambiente de la oficina es tranquilo. Sin embargo los procesos son lentos y para operaciones sencillas hay que esperar demasiado. El trato humano es bueno pero la eficiencia operativa tiene mucho margen de mejora.",Buen trato personal pero procesos lentos en la oficina,Personal
2,"El agente telefónico que me atendió cuando denuncié una operación fraudulenta no supo qué hacer. Me transfirió tres veces a distintos departamentos y ninguno tomó medidas. Tarde una semana en recuperar el dinero. La gestión del fraude fue completamente deficiente.",Gestión deficiente del fraude por falta de capacitación del personal,Personal
9,"El servicio de banca privada es excepcional. Mi asesor dedica tiempo real a conocer mis objetivos financieros y personales. Las reuniones de seguimiento son frecuentes y productivas. Me siento acompañado en cada decisión financiera importante. Vale completamente lo que cuesta.",Excelente experiencia en servicio de banca privada personalizada,Personal
4,"Cada vez que voy a la oficina o llamo me atiende una persona diferente. Nadie conoce mi historial. Tengo que repetir siempre la misma información desde cero. Este nivel de descoordinación interna hace que la relación con el banco sea muy frustrante.",Descoordinación interna provoca experiencia fragmentada y repetitiva,Personal
7,"Cuando presenté una queja por un cargo incorrecto la persona que me atendió fue empática, no me hizo sentir cuestionado y devolvió el importe en el acto. Eso es exactamente lo que espero cuando hay un error: rapidez y sin discusión.",Gestión de error de cargo con empatía y resolución inmediata,Personal
10,"Tuve una situación económica difícil y mi asesora me ayudó a reestructurar mis deudas sin juzgarme. Me propuso un plan realista y me fue acompañando durante todo el proceso. Gracias a su gestión pude superar una situación muy complicada. Le estaré siempre agradecido.",Asesor empático que gestionó reestructuración de deuda con éxito,Personal
3,"Cuando llamo al call center los agentes no tienen capacidad para tomar ninguna decisión. Todo lo derivan a otro departamento o a la oficina. Son incapaces de resolver nada por sí mismos. El canal telefónico existe pero no sirve de nada realmente.",Agentes telefónicos sin capacidad de resolución autónoma,Personal
8,"Mi gestor siempre me explica cada producto con claridad antes de que lo contrate. Me detalla ventajas, riesgos y alternativas. Nunca me ha presionado y siempre respeta mis tiempos. Gracias a eso confío plenamente en sus recomendaciones.",Gestor que explica productos con claridad y sin presión comercial,Personal
9,"La cuenta nómina no tiene comisión de mantenimiento si domicilio la nómina. Con esa sola condición tengo la cuenta y la tarjeta de débito completamente gratis. Es uno de los mejores precios del mercado para una cuenta con todas las funcionalidades.",Cuenta nómina gratuita con condición de domiciliación sencilla,Pricing
2,"Cobran 15 euros al mes solo por tener la cuenta abierta, independientemente de si la usas o no. No hay forma de evitar esta comisión sin domiciliar la nómina. Para quienes cobran en efectivo o tienen ingresos variables es un coste fijo injustificado.",Comisión de mantenimiento de cuenta alta sin opciones de exención,Pricing
8,"El tipo de interés que me ofrecieron para la hipoteca fue de los más bajos del mercado. El diferencial sobre el Euríbor es muy competitivo. Comparé con cinco bancos y este fue claramente el mejor. Ahorro varios miles de euros en intereses a lo largo del préstamo.",Tipo hipotecario muy competitivo frente al mercado,Pricing
1,"Cuando quise cancelar el préstamo personal anticipadamente me cobraron una penalización del 4% sobre el capital pendiente. Nadie me explicó esto al contratar el préstamo. En la documentación estaba en letra muy pequeña. Me costó más cancelar que seguir pagando.",Penalización abusiva por cancelación anticipada no comunicada al contratar,Pricing
7,"El precio del seguro de hogar es razonable para la cobertura que ofrece. He comparado con varias aseguradoras y el banco está en la media del mercado. Sin vinculaciones obligatorias y con la comodidad de tenerlo todo en un solo sitio. Una opción válida.",Precio competitivo en seguro de hogar sin vinculaciones,Pricing
3,"Cobran comisión por hacer una transferencia SEPA dentro de la Unión Europea. Esto lleva años prohibido por normativa europea pero ellos la siguen cobrando enmascarada como gasto de gestión. Es una práctica cuando menos cuestionable que perjudica al cliente.",Cobro encubierto por transferencia SEPA contrario a normativa europea,Pricing
10,"La tarjeta de crédito no tiene comisión anual y tampoco cobra por las operaciones en moneda extranjera. Es perfecta para viajar. He estado en cinco países este año sin pagar un solo euro en comisiones por el cambio de divisa. Una tarjeta imbatible en precio.",Tarjeta de crédito sin comisiones anuales ni por divisa en el extranjero,Pricing
4,"La cuenta de ahorro da un 0,05% de interés anual. Con la inflación actual es perder dinero en términos reales. Otros bancos online ofrecen un 3% sin vinculaciones. Si el objetivo es ahorrar, este banco es la peor opción que existe ahora mismo.",Rentabilidad de cuenta ahorro muy inferior a alternativas del mercado,Pricing
9,"Por tener la nómina domiciliada y dos recibos domiciliados consigo un descuento del 0,3% en la hipoteca. Eso supone más de 1.500 euros al año. Las condiciones de vinculación son alcanzables y el ahorro es real y significativo. Un esquema de fidelización que funciona.",Descuento hipotecario por vinculación alcanzable con ahorro significativo,Pricing
2,"Las comisiones de gestión del fondo de inversión activo que contraté superan el 2% anual. Con esa comisión el fondo tiene que batir al mercado solo para empatar. En la práctica casi nunca lo consigue. Estoy pagando mucho por un rendimiento mediocre.",Comisiones excesivas en fondos de gestión activa sin justificación de rendimiento,Pricing
8,"El cashback del 5% en gasolineras y supermercados durante los primeros seis meses fue real y se abonó correctamente. Recuperé más de 150 euros. Después del periodo promocional el porcentaje baja pero sigue siendo atractivo. Un beneficio tangible y bien ejecutado.",Cashback real y bien aplicado en categorías de gasto cotidiano,Pricing
5,"Las comisiones del banco están en línea con el resto del mercado. Ni especialmente baratas ni especialmente caras. Los precios son predecibles y están bien documentados en la web. No tengo quejas pero tampoco motivos para recomendarlos especialmente por el precio.",Estructura de precios media sin ventajas ni desventajas destacadas,Pricing
1,"A mitad de año me notificaron por carta que subían las comisiones de mantenimiento de cuenta un 40%. Sin posibilidad de negociación y con solo 15 días de preaviso. Un cambio unilateral de condiciones que vulnera la confianza en el banco y me obliga a buscar alternativas.",Subida unilateral de comisiones con preaviso mínimo y sin negociación,Pricing
7,"El tipo de interés del préstamo para el coche fue del 5,9% TAE. Es justo para el mercado actual. El plazo de amortización es flexible y puedo hacer pagos extra sin coste adicional. Para financiación de vehículo es una opción equilibrada y sin sorpresas.",Tipo de interés competitivo y condiciones flexibles en préstamo de coche,Pricing
10,"Este banco no cobra ninguna comisión: ni por mantenimiento, ni por transferencias, ni por sacar en cajeros propios o ajenos. Todo incluido en la tarifa cero. No esperaba que fuera posible un banco sin comisiones y con tan buen servicio. Lo recomiendo sin dudar.",Cero comisiones en todos los servicios del banco,Pricing
3,"El depósito a plazo que me ofrecieron daba un 1,5% pero al calcularlo bien era TAE, no mensual. Sobre 10.000 euros eso es 150 euros al año, menos de lo que cobran por la cuenta. La rentabilidad nominal es buena pero la neta es prácticamente cero.",Rentabilidad del depósito anulada por comisiones asociadas a la cuenta,Pricing
8,"Por domiciliar tres recibos en la cuenta me bonificaron con 100 euros. La condición es muy fácil de cumplir y la bonificación llegó puntualmente. Es una forma honesta de premiar la vinculación sin engaños ni condiciones imposibles de alcanzar.",Bonificación por vinculación real y condiciones alcanzables,Pricing
